timestamp,station,hour,pm25,pm10,no2,so2,co,ozone,congestion,speed,temperature,humidity,wind_speed,aqi
2026-07-20 18:43:19.659309,"Cantonment Area, Delhi - DPCC",0,26.09,76.69,12.85,-0.23,40.07,19.03,0,39.0,32.6,71.11,2.63,120.22
2026-07-20 19:43:19.659309,"Cantonment Area, Delhi - DPCC",1,18.56,73.8,10.0,0.63,41.05,18.24,0,39.0,29.24,60.05,3.6,123.15
2026-07-20 20:43:19.659309,"Cantonment Area, Delhi - DPCC",2,30.89,73.06,15.01,2.54,37.34,16.36,0,39.0,30.78,70.31,3.21,112.03
2026-07-20 21:43:19.659309,"Cantonment Area, Delhi - DPCC",3,28.02,78.09,15.31,2.6,37.59,18.03,7,37.95,29.14,63.18,4.94,112.78
2026-07-20 22:43:19.659309,"Cantonment Area, Delhi - DPCC",4,31.82,90.59,10.23,1.19,39.84,17.77,0,39.0,29.24,68.91,3.65,119.53
2026-07-20 23:43:19.659309,"Cantonment Area, Delhi - DPCC",5,24.2,86.04,15.05,0.85,37.07,22.29,0,39.0,33.11,62.29,4.38,111.22
2026-07-21 00:43:19.659309,"Cantonment Area, Delhi - DPCC",6,26.06,73.92,16.33,1.81,40.61,21.91,9,37.65,31.81,76.81,3.62,121.82
2026-07-21 01:43:19.659309,"Cantonment Area, Delhi - DPCC",7,25.32,79.78,15.78,2.69,44.01,14.69,22,35.7,28.64,63.06,4.65,132.02
2026-07-21 02:43:19.659309,"Cantonment Area, Delhi - DPCC",8,30.79,86.97,19.57,2.93,44.49,14.35,24,35.4,29.99,69.19,2.95,133.48
2026-07-21 03:43:19.659309,"Cantonment Area, Delhi - DPCC",9,41.23,81.99,15.38,-0.11,43.31,16.89,30,34.5,27.96,57.54,3.12,129.92
2026-07-21 04:43:19.659309,"Cantonment Area, Delhi - DPCC",10,29.33,84.11,16.13,2.48,39.65,21.83,27,34.95,31.08,73.11,2.97,118.94
2026-07-21 05:43:19.659309,"Cantonment Area, Delhi - DPCC",11,36.8,86.43,9.23,2.8,39.6,14.97,0,39.0,29.33,59.45,2.45,118.79
2026-07-21 06:43:19.659309,"Cantonment Area, Delhi - DPCC",12,17.56,82.41,16.06,-0.33,37.52,16.83,1,38.85,32.62,67.06,4.23,112.55
2026-07-21 07:43:19.659309,"Cantonment Area, Delhi - DPCC",13,24.97,88.83,8.15,1.98,40.92,15.09,0,39.0,28.71,65.3,2.1,122.75
2026-07-21 08:43:19.659309,"Cantonment Area, Delhi - DPCC",14,25.61,88.05,8.93,0.09,41.31,15.68,0,39.0,28.57,73.6,2.82,123.93
2026-07-21 09:43:19.659309,"Cantonment Area, Delhi - DPCC",15,24.45,81.19,11.66,1.8,40.76,15.82,0,39.0,28.78,58.62,4.83,122.27
2026-07-21 10:43:19.659309,"Cantonment Area, Delhi - DPCC",16,28.11,91.16,8.02,2.52,37.83,15.92,0,39.0,28.14,69.39,2.87,113.48
2026-07-21 11:43:19.659309,"Cantonment Area, Delhi - DPCC",17,32.3,95.15,17.47,2.41,39.35,20.68,21,35.85,31.87,58.88,2.67,118.05
2026-07-21 12:43:19.659309,"Cantonment Area, Delhi - DPCC",18,29.0,83.3,18.27,0.81,38.58,15.38,19,36.15,31.24,71.56,3.2,115.74
2026-07-21 13:43:19.659309,"Cantonment Area, Delhi - DPCC",19,31.63,83.88,15.95,-0.93,43.09,17.85,16,36.6,32.9,71.16,3.07,129.27
2026-07-21 14:43:19.659309,"Cantonment Area, Delhi - DPCC",20,31.89,87.97,19.03,-0.18,43.28,23.68,23,35.55,32.55,67.57,2.66,129.83
2026-07-21 15:43:19.659309,"Cantonment Area, Delhi - DPCC",21,29.99,85.33,11.66,0.43,40.38,12.51,9,37.65,28.72,72.92,3.08,121.15
2026-07-21 16:43:19.659309,"Cantonment Area, Delhi - DPCC",22,25.4,74.38,17.06,2.05,39.58,17.04,6,38.1,31.9,75.07,3.51,118.74
2026-07-21 17:43:19.659309,"Cantonment Area, Delhi - DPCC",23,28.54,89.04,8.44,2.32,36.02,18.28,0,39.0,31.24,68.0,3.48,108.05
2026-07-19 18:43:19.659309,"Cantonment Area, Delhi - DPCC",0,27.14,77.52,9.62,-0.07,39.93,14.34,0,39.0,28.31,61.33,3.52,119.79
2026-07-19 19:43:19.659309,"Cantonment Area, Delhi - DPCC",1,31.33,94.11,10.97,1.73,36.31,15.29,0,39.0,28.92,58.67,2.17,108.92
2026-07-19 20:43:19.659309,"Cantonment Area, Delhi - DPCC",2,27.48,85.21,16.12,0.45,40.96,14.48,2,38.7,29.99,60.54,2.82,122.87
2026-07-19 21:43:19.659309,"Cantonment Area, Delhi - DPCC",3,20.99,86.85,14.18,-0.42,39.31,19.69,6,38.1,30.62,76.48,3.45,117.92
2026-07-19 22:43:19.659309,"Cantonment Area, Delhi - DPCC",4,27.94,85.91,11.92,0.04,38.01,15.69,10,37.5,30.64,71.27,2.61,114.02
2026-07-19 23:43:19.659309,"Cantonment Area, Delhi - DPCC",5,29.83,76.91,13.2,0.55,42.16,15.05,10,37.5,27.58,62.33,2.66,126.49
2026-07-20 00:43:19.659309,"Cantonment Area, Delhi - DPCC",6,25.49,77.68,14.73,1.4,36.01,17.85,0,39.0,30.39,72.36,3.18,108.03
2026-07-20 01:43:19.659309,"Cantonment Area, Delhi - DPCC",7,33.02,87.0,19.54,-0.81,41.51,12.98,20,36.0,29.3,67.91,2.59,124.52
2026-07-20 02:43:19.659309,"Cantonment Area, Delhi - DPCC",8,39.56,86.68,20.19,2.77,43.01,23.03,25,35.25,31.47,63.45,3.38,129.02
2026-07-20 03:43:19.659309,"Cantonment Area, Delhi - DPCC",9,39.65,92.42,17.28,2.39,43.09,24.45,28,34.8,32.64,59.5,2.43,129.27
2026-07-20 04:43:19.659309,"Cantonment Area, Delhi - DPCC",10,38.49,98.45,20.9,2.94,42.19,20.4,29,34.65,31.78,61.71,2.56,126.57
2026-07-20 05:43:19.659309,"Cantonment Area, Delhi - DPCC",11,28.03,78.86,8.22,-0.6,39.99,15.04,0,39.0,30.3,60.97,3.52,119.96
2026-07-20 06:43:19.659309,"Cantonment Area, Delhi - DPCC",12,24.08,92.42,8.98,2.66,36.07,16.15,0,39.0,30.0,57.53,3.26,108.22
2026-07-20 07:43:19.659309,"Cantonment Area, Delhi - DPCC",13,30.05,73.09,11.74,-0.3,39.85,11.88,0,39.0,27.5,60.07,4.04,119.56
2026-07-20 08:43:19.659309,"Cantonment Area, Delhi - DPCC",14,29.04,82.65,15.26,-0.24,40.76,17.49,0,39.0,29.47,76.02,3.74,122.27
2026-07-20 09:43:19.659309,"Cantonment Area, Delhi - DPCC",15,32.3,86.66,9.84,0.69,41.55,21.25,2,38.7,30.84,59.6,4.39,124.66
2026-07-20 10:43:19.659309,"Cantonment Area, Delhi - DPCC",16,25.81,85.84,15.77,-0.0,39.0,19.71,0,39.0,32.42,57.79,3.3,116.99
2026-07-20 11:43:19.659309,"Cantonment Area, Delhi - DPCC",17,30.71,80.87,19.58,0.77,39.14,14.27,25,35.25,29.13,57.72,3.59,117.42
2026-07-20 12:43:19.659309,"Cantonment Area, Delhi - DPCC",18,33.22,94.01,16.04,2.49,40.76,20.43,28,34.8,30.36,59.06,2.39,122.28
2026-07-20 13:43:19.659309,"Cantonment Area, Delhi - DPCC",19,33.19,88.98,19.85,0.68,44.25,18.54,24,35.4,31.52,64.0,3.06,132.76
2026-07-20 14:43:19.659309,"Cantonment Area, Delhi - DPCC",20,29.42,90.79,18.6,-0.1,41.74,11.12,16,36.6,28.64,72.81,3.86,125.23
2026-07-20 15:43:19.659309,"Cantonment Area, Delhi - DPCC",21,30.93,80.93,11.94,-0.11,38.23,16.06,0,39.0,28.15,72.01,4.52,114.68
2026-07-20 16:43:19.659309,"Cantonment Area, Delhi - DPCC",22,34.47,78.09,15.13,1.19,39.15,16.42,0,39.0,30.25,76.96,3.38,117.46
2026-07-20 17:43:19.659309,"Cantonment Area, Delhi - DPCC",23,24.15,77.19,14.71,2.4,41.73,21.29,5,38.25,32.01,65.52,4.86,125.18
2026-07-18 18:43:19.659309,"Cantonment Area, Delhi - DPCC",0,19.68,71.19,9.37,0.15,41.59,18.62,0,39.0,32.85,74.75,4.42,124.76
2026-07-18 19:43:19.659309,"Cantonment Area, Delhi - DPCC",1,31.34,91.5,12.94,-0.88,41.44,20.63,2,38.7,33.19,66.24,3.79,124.33
2026-07-18 20:43:19.659309,"Cantonment Area, Delhi - DPCC",2,31.89,73.01,12.51,2.31,37.37,23.02,0,39.0,31.57,73.46,3.12,112.12
2026-07-18 21:43:19.659309,"Cantonment Area, Delhi - DPCC",3,25.32,74.56,13.39,-0.03,41.36,16.98,4,38.4,28.18,60.91,4.62,124.07
2026-07-18 22:43:19.659309,"Cantonment Area, Delhi - DPCC",4,21.29,76.19,16.66,0.05,39.53,16.15,7,37.95,30.4,76.21,4.33,118.58
2026-07-18 23:43:19.659309,"Cantonment Area, Delhi - DPCC",5,29.9,93.57,14.43,0.79,39.93,14.28,10,37.5,28.52,66.99,2.85,119.78
2026-07-19 00:43:19.659309,"Cantonment Area, Delhi - DPCC",6,21.7,87.05,14.05,2.53,39.16,10.76,5,38.25,27.43,70.55,3.08,117.49
2026-07-19 01:43:19.659309,"Cantonment Area, Delhi - DPCC",7,29.21,97.61,17.95,-0.78,43.03,16.64,26,35.1,30.42,72.21,2.47,129.08
2026-07-19 02:43:19.659309,"Cantonment Area, Delhi - DPCC",8,38.71,86.35,12.89,0.92,43.2,20.26,24,35.4,32.9,68.1,3.53,129.6
